RUN	computerdatabase.AddToCart3	addtocart3	1558723406418	 	3.1.2
USER	AddToCart	1	START	1558723407808	1558723407808
USER	AddToCart	2	START	1558723407904	1558723407904
USER	AddToCart	3	START	1558723408004	1558723408004
USER	AddToCart	4	START	1558723408104	1558723408104
USER	AddToCart	5	START	1558723408203	1558723408203
USER	AddToCart	6	START	1558723408304	1558723408304
REQUEST	1		request_0	1558723407847	1558723408321	OK	 
USER	AddToCart	7	START	1558723408403	1558723408403
REQUEST	2		request_0	1558723407904	1558723408470	OK	 
REQUEST	3		request_0	1558723408004	1558723408509	OK	 
USER	AddToCart	8	START	1558723408513	1558723408513
REQUEST	4		request_0	1558723408105	1558723408594	OK	 
USER	AddToCart	9	START	1558723408614	1558723408614
USER	AddToCart	10	START	1558723408714	1558723408714
USER	AddToCart	11	START	1558723408814	1558723408814
USER	AddToCart	12	START	1558723408914	1558723408914
USER	AddToCart	13	START	1558723409014	1558723409014
USER	AddToCart	14	START	1558723409114	1558723409114
USER	AddToCart	15	START	1558723409214	1558723409214
USER	AddToCart	16	START	1558723409314	1558723409314
REQUEST	5		request_0	1558723408205	1558723409321	OK	 
REQUEST	2		css?family=Open+Sans:400,300,300italic,400italic,600,600italic,700,700italic,800,800italic	1558723408540	1558723409351	OK	 
REQUEST	3		css?family=Open+Sans:400,300,300italic,400italic,600,600italic,700,700italic,800,800italic	1558723408558	1558723409350	OK	 
REQUEST	1		css?family=Open+Sans:400,300,300italic,400italic,600,600italic,700,700italic,800,800italic	1558723408540	1558723409351	OK	 
REQUEST	2		storeFinder.css	1558723408553	1558723409387	OK	 
USER	AddToCart	17	START	1558723409414	1558723409414
USER	AddToCart	18	START	1558723409514	1558723409514
USER	AddToCart	19	START	1558723409614	1558723409614
USER	AddToCart	20	START	1558723409713	1558723409713
USER	AddToCart	21	START	1558723409813	1558723409813
USER	AddToCart	22	START	1558723409903	1558723409903
USER	AddToCart	23	START	1558723410003	1558723410003
USER	AddToCart	24	START	1558723410103	1558723410103
USER	AddToCart	25	START	1558723410204	1558723410204
USER	AddToCart	26	START	1558723410304	1558723410304
USER	AddToCart	27	START	1558723410403	1558723410403
USER	AddToCart	28	START	1558723410503	1558723410503
USER	AddToCart	29	START	1558723410603	1558723410603
USER	AddToCart	30	START	1558723410703	1558723410703
USER	AddToCart	31	START	1558723410804	1558723410804
USER	AddToCart	32	START	1558723410904	1558723410904
USER	AddToCart	33	START	1558723411004	1558723411004
USER	AddToCart	34	START	1558723411104	1558723411104
USER	AddToCart	35	START	1558723411204	1558723411204
USER	AddToCart	36	START	1558723411303	1558723411303
USER	AddToCart	37	START	1558723411404	1558723411404
USER	AddToCart	38	START	1558723411504	1558723411504
USER	AddToCart	39	START	1558723411604	1558723411604
USER	AddToCart	40	START	1558723411704	1558723411704
USER	AddToCart	41	START	1558723411803	1558723411803
REQUEST	2		favicon.ico	1558723408552	1558723411871	OK	 
USER	AddToCart	42	START	1558723411904	1558723411904
USER	AddToCart	43	START	1558723412004	1558723412004
USER	AddToCart	44	START	1558723412104	1558723412104
USER	AddToCart	45	START	1558723412204	1558723412204
USER	AddToCart	46	START	1558723412304	1558723412304
REQUEST	2		ruxitagentjs_ICA2SVfqr_10167190521165248.js	1558723408551	1558723412363	OK	 
USER	AddToCart	47	START	1558723412404	1558723412404
USER	AddToCart	48	START	1558723412504	1558723412504
USER	AddToCart	49	START	1558723412603	1558723412603
USER	AddToCart	50	START	1558723412704	1558723412704
REQUEST	4		ruxitagentjs_ICA2SVfqr_10167190521165248.js	1558723408624	1558723412887	OK	 
REQUEST	3		ruxitagentjs_ICA2SVfqr_10167190521165248.js	1558723408558	1558723413221	OK	 
REQUEST	1		favicon.ico	1558723408552	1558723413305	OK	 
REQUEST	1		ruxitagentjs_ICA2SVfqr_10167190521165248.js	1558723408551	1558723413409	OK	 
REQUEST	2		textfieldconfiguratortemplateaddon.css	1558723409392	1558723413421	OK	 
REQUEST	2		customer360.css	1558723408553	1558723414408	OK	 
REQUEST	3		favicon.ico	1558723408559	1558723414668	OK	 
REQUEST	7		request_0	1558723408404	1558723414759	OK	 
REQUEST	2		smarteditaddon.css	1558723411873	1558723414920	OK	 
REQUEST	6		request_0	1558723408306	1558723415017	OK	 
REQUEST	4		css?family=Open+Sans:400,300,300italic,400italic,600,600italic,700,700italic,800,800italic	1558723408623	1558723415207	OK	 
REQUEST	3		storeFinder.css	1558723408560	1558723415561	OK	 
REQUEST	1		storeFinder.css	1558723408553	1558723415573	OK	 
REQUEST	2		assistedservicepromotionaddon.css	1558723412364	1558723415688	OK	 
REQUEST	4		textfieldconfiguratortemplateaddon.css	1558723412889	1558723416629	OK	 
REQUEST	1		textfieldconfiguratortemplateaddon.css	1558723413307	1558723417118	OK	 
REQUEST	2		customerticketingaddon.css	1558723413425	1558723417352	OK	 
REQUEST	4		storeFinder.css	1558723408625	1558723417689	OK	 
REQUEST	2		orderselfserviceaddon.css	1558723414416	1558723417811	OK	 
REQUEST	3		customer360.css	1558723408560	1558723417837	OK	 
REQUEST	3		smarteditaddon.css	1558723414670	1558723417903	OK	 
REQUEST	2		analyticsmediator.js	1558723414924	1558723417977	OK	 
REQUEST	1		customer360.css	1558723408553	1558723418162	OK	 
REQUEST	3		assistedservicepromotionaddon.css	1558723415565	1558723418256	OK	 
REQUEST	2		logo-hybris-responsive.svg?context=bWFzdGVyfGltYWdlc3w3Nzc4fGltYWdlL3N2Zyt4bWx8aW1hZ2VzL2gyMi9oMGYvODc5NjkxNjk3MzU5OC5zdmd8MWU4ZmJhNzZiOWQxZGE5MDBlMWFmMDZiMjgzZTY3ZGVkY2FlZTM5YzY2MzUwMzNkN2FlOGNhZGFlMzA1NzgxNA	1558723415693	1558723418372	OK	 
REQUEST	2		assistedservicestorefront.css	1558723408552	1558723418463	OK	 
REQUEST	4		customer360.css	1558723408626	1558723418595	OK	 
REQUEST	4		smarteditaddon.css	1558723416631	1558723418600	OK	 
REQUEST	1		customerticketingaddon.css	1558723417121	1558723418884	OK	 
REQUEST	2		?context=bWFzdGVyfGltYWdlc3w3MDg1fGltYWdlL2pwZWd8aW1hZ2VzL2gzNC9oZWEvODc5NjgxNzg4MzE2Ni5qcGd8YTNkNzIzYzRkODdkYjM5ZjcyOWMzZDI0YjBhMDc0NzlhN2NkZTljY2UyOTdlYWIyMWViZmZiYjU3NjI1ODExOA	1558723417355	1558723418896	OK	 
REQUEST	5		ruxitagentjs_ICA2SVfqr_10167190521165248.js	1558723409369	1558723418908	OK	 
REQUEST	4		assistedservicepromotionaddon.css	1558723417691	1558723419045	OK	 
REQUEST	2		?context=bWFzdGVyfGltYWdlc3wxMjA3OHxpbWFnZS9qcGVnfGltYWdlcy9oZWMvaDFhLzg3OTY4MjEwOTQ0MzAuanBnfDAwN2E1MGM3MWU0YmU3N2RkMDAwZDQ2MmExM2U1NmZkYmNmZWJhZWNmMjJmOWVkZDQxYjQxNWM4M2Q1MDAxMTU	1558723417814	1558723419093	OK	 
REQUEST	3		orderselfserviceaddon.css	1558723417905	1558723419094	OK	 
REQUEST	4		favicon.ico	1558723408624	1558723419096	OK	 
REQUEST	5		css?family=Open+Sans:400,300,300italic,400italic,600,600italic,700,700italic,800,800italic	1558723409369	1558723419112	OK	 
REQUEST	3		analyticsmediator.js	1558723418257	1558723419149	OK	 
REQUEST	2		?context=bWFzdGVyfGltYWdlc3wxMTMzMXxpbWFnZS9qcGVnfGltYWdlcy9oMjcvaGFiLzg3OTY4Mjg1NjU1MzQuanBnfDg3YWRmMDQxNzEwNjc2Zjg0MWE4NzVmOTk2ODlmODcwMGYzNzljMGY2NzVkMTRlYjZkMDM2YTc0ZDgxODY2MmY	1558723418373	1558723419155	OK	 
REQUEST	2		css?family=Dosis:400,300,500,600	1558723418479	1558723419192	OK	 
REQUEST	4		orderselfserviceaddon.css	1558723418602	1558723419547	OK	 
REQUEST	8		request_0	1558723408514	1558723419552	OK	 
REQUEST	5		favicon.ico	1558723409370	1558723419563	OK	 
REQUEST	1		analyticsmediator.js	1558723418887	1558723419582	OK	 
REQUEST	2		?context=bWFzdGVyfGltYWdlc3wxMDg2NXxpbWFnZS9qcGVnfGltYWdlcy9oMmUvaDZjLzg3OTY4MTE0NjA2MzguanBnfDhlMjIwMzgxMWI3ZmE1OGQwYzI4MWJiZDY0N2Q1NjFkOGFkMDM4ODMyOWU5ODg4YjQ0NTQyNTQzOTVmZThhMWQ	1558723419095	1558723419845	OK	 
REQUEST	3		logo-hybris-responsive.svg?context=bWFzdGVyfGltYWdlc3w3Nzc4fGltYWdlL3N2Zyt4bWx8aW1hZ2VzL2gyMi9oMGYvODc5NjkxNjk3MzU5OC5zdmd8MWU4ZmJhNzZiOWQxZGE5MDBlMWFmMDZiMjgzZTY3ZGVkY2FlZTM5YzY2MzUwMzNkN2FlOGNhZGFlMzA1NzgxNA	1558723419096	1558723419872	OK	 
REQUEST	4		?context=bWFzdGVyfGltYWdlc3w3MDg1fGltYWdlL2pwZWd8aW1hZ2VzL2gzNC9oZWEvODc5NjgxNzg4MzE2Ni5qcGd8YTNkNzIzYzRkODdkYjM5ZjcyOWMzZDI0YjBhMDc0NzlhN2NkZTljY2UyOTdlYWIyMWViZmZiYjU3NjI1ODExOA	1558723419549	1558723419972	OK	 
REQUEST	4		logo-hybris-responsive.svg?context=bWFzdGVyfGltYWdlc3w3Nzc4fGltYWdlL3N2Zyt4bWx8aW1hZ2VzL2gyMi9oMGYvODc5NjkxNjk3MzU5OC5zdmd8MWU4ZmJhNzZiOWQxZGE5MDBlMWFmMDZiMjgzZTY3ZGVkY2FlZTM5YzY2MzUwMzNkN2FlOGNhZGFlMzA1NzgxNA	1558723419097	1558723419975	OK	 
REQUEST	1		assistedservicestorefront.css	1558723408552	1558723420012	OK	 
REQUEST	4		analyticsmediator.js	1558723419047	1558723420126	OK	 
REQUEST	2		?context=bWFzdGVyfGltYWdlc3wxMjM3MnxpbWFnZS9qcGVnfGltYWdlcy9oNjcvaGIxLzg3OTY4MDYyODMyOTQuanBnfGU5ZjBmMWVjODE3NzkwMmFjNGZmNmM2OTc3ODA5YzI3ODhiMjU1MGRhMGQxOGI1ZjEyODMwMGQ3MWE2MjM3ZDM	1558723418897	1558723420126	OK	 
REQUEST	3		?context=bWFzdGVyfGltYWdlc3w3MDg1fGltYWdlL2pwZWd8aW1hZ2VzL2gzNC9oZWEvODc5NjgxNzg4MzE2Ni5qcGd8YTNkNzIzYzRkODdkYjM5ZjcyOWMzZDI0YjBhMDc0NzlhN2NkZTljY2UyOTdlYWIyMWViZmZiYjU3NjI1ODExOA	1558723419150	1558723420186	OK	 
REQUEST	5		smarteditaddon.css	1558723419565	1558723420189	OK	 
